"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.156378611E0,3.339999914E-1,8.357999802E0,5.321000099E0,9.913665252E0
1.161385217E0,2.569999993E-1,8.434000015E0,5.359000206E0,9.995863568E0
1.166391448E0,3.339999914E-1,8.472999573E0,5.282000065E0,9.990135256E0
1.171397838E0,2.960000038E-1,8.510999680E0,5.282000065E0,1.002119036E1
1.176403992E0,3.339999914E-1,8.472999573E0,5.321000099E0,1.001081015E1
1.181410756E0,3.339999914E-1,8.434000015E0,5.282000065E0,9.957079739E0
1.186417756E0,3.339999914E-1,8.357999802E0,5.282000065E0,9.892787340E0
1.191424294E0,2.960000038E-1,8.434000015E0,5.396999836E0,1.001736390E1
1.196430987E0,2.960000038E-1,8.357999802E0,5.359000206E0,9.932907927E0
1.201437992E0,2.189999968E-1,8.395999908E0,5.243999958E0,9.901530741E0
1.206443992E0,2.569999993E-1,8.357999802E0,5.321000099E0,9.911369822E0
1.211449698E0,1.809999943E-1,8.357999802E0,5.359000206E0,9.930146267E0
1.216456160E0,2.189999968E-1,8.395999908E0,5.359000206E0,9.962914165E0
1.221462929E0,1.430000067E-1,8.434000015E0,5.435999870E0,1.003508345E1
1.226469247E0,2.960000038E-1,8.434000015E0,5.396999836E0,1.001736390E1
1.231475939E0,2.189999968E-1,8.357999802E0,5.243999958E0,9.869329118E0
1.236482477E0,1.430000067E-1,8.281000137E0,5.282000065E0,9.823183647E0
1.241489554E0,2.189999968E-1,8.357999802E0,5.396999836E0,9.951468681E0
1.246498102E0,2.960000038E-1,8.357999802E0,5.282000065E0,9.891577294E0
1.251506794E0,2.960000038E-1,8.319000244E0,5.321000099E0,9.879596303E0
1.256515530E0,2.569999993E-1,8.434000015E0,5.282000065E0,9.954794319E0
1.261524069E0,2.189999968E-1,8.434000015E0,5.129000187E0,9.873548510E0
1.266530761E0,2.189999968E-1,8.395999908E0,5.205999851E0,9.881457884E0
1.271537357E0,2.569999993E-1,8.357999802E0,5.091000080E0,9.789815703E0
1.276543587E0,1.809999943E-1,8.395999908E0,5.166999817E0,9.860195869E0
1.281549218E0,1.430000067E-1,8.357999802E0,5.129000187E0,9.807306083E0
1.286556141E0,1.809999943E-1,8.357999802E0,5.166999817E0,9.827858810E0
1.291563222E0,2.189999968E-1,8.357999802E0,5.243999958E0,9.869329118E0
1.296570299E0,2.569999993E-1,8.357999802E0,5.321000099E0,9.911369822E0
1.301576982E0,1.430000067E-1,8.357999802E0,5.282000065E0,9.888181550E0
1.306583520E0,1.430000067E-1,8.434000015E0,5.359000206E0,9.993582364E0
1.311589828E0,1.809999943E-1,8.319000244E0,5.282000065E0,9.855863775E0
1.316596525E0,1.430000067E-1,8.319000244E0,5.282000065E0,9.855239152E0
1.321602679E0,1.809999943E-1,8.281000137E0,5.359000206E0,9.865424850E0
1.326608914E0,1.040000021E-1,8.357999802E0,5.321000099E0,9.908583084E0
1.331616760E0,1.430000067E-1,8.243000031E0,5.473999977E0,9.896068626E0
1.336625458E0,1.040000021E-1,8.319000244E0,5.396999836E0,9.916863833E0
1.341634611E0,1.430000067E-1,8.357999802E0,5.396999836E0,9.950086277E0
